"AUXU500R.Code.or.Value","AUXU500R.Value.Description","AUXU500R.Count","AUXU500R.Cumulative","AUXU500R.Skip.to.Item"
"-10 to 115","Range of Values",2183,2183,NA
"666","No response",2,2185,NA
"888","Could not obtain",15,2200,NA
".","Missing",168,2368,NA
