"CKD060.Code.or.Value","CKD060.Value.Description","CKD060.Count","CKD060.Cumulative","CKD060.Skip.to.Item"
"1","Yes",1246,1246,"CKQ070Q"
"2","No",4636,5882,""
"7","Refused",0,5882,""
"9","Don't know",6,5888,""
".","Missing",661,6549,""
