"URDDMALC.Code.or.Value","URDDMALC.Value.Description","URDDMALC.Count","URDDMALC.Cumulative","URDDMALC.Skip.to.Item"
"0","At or above the detection limit",2259,2259,NA
"1","Below lower detection limit",165,2424,NA
".","Missing",294,2718,NA
