"SS3adlG.Code.or.Value","SS3adlG.Value.Description","SS3adlG.Count","SS3adlG.Cumulative","SS3adlG.Skip.to.Item"
"0.531 to 37.63","Range of Values",515,515,NA
".","Missing",11,526,NA
