"LBXGLY.Code.or.Value","LBXGLY.Value.Description","LBXGLY.Count","LBXGLY.Cumulative","LBXGLY.Skip.to.Item"
"2.83 to 756","Range of Values",7278,7278,NA
".","Missing",1278,8556,NA
