"URXMHP.Code.or.Value","URXMHP.Value.Description","URXMHP.Count","URXMHP.Cumulative","URXMHP.Skip.to.Item"
"0.35 to 807.5","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
