"PFQ061S.Code.or.Value","PFQ061S.Value.Description","PFQ061S.Count","PFQ061S.Cumulative","PFQ061S.Skip.to.Item"
"1","No difficulty",2289,2289,NA
"2","Some difficulty",171,2460,NA
"3","Much difficulty",35,2495,NA
"4","Unable to do",12,2507,NA
"5","Do not do this activity",4,2511,NA
"7","Refused",1,2512,NA
"9","Don't know",0,2512,NA
".","Missing",5838,8350,NA
