"BPXDI1.Code.or.Value","BPXDI1.Value.Description","BPXDI1.Count","BPXDI1.Cumulative","BPXDI1.Skip.to.Item"
"0 to 134","Range of Values",7126,7126,NA
".","Missing",3351,10477,NA
