"BPQ040A.Code.or.Value","BPQ040A.Value.Description","BPQ040A.Count","BPQ040A.Cumulative","BPQ040A.Skip.to.Item"
"1","Yes",1815,1815,""
"2","No",357,2172,"BPQ056"
"7","Refused",0,2172,"BPQ056"
"9","Don't know",2,2174,"BPQ056"
".","Missing",4290,6464,""
