"RHQ560U.Code.or.Value","RHQ560U.Value.Description","RHQ560U.Count","RHQ560U.Cumulative","RHQ560U.Skip.to.Item"
"1","Months",59,59,NA
"2","Years",154,213,NA
"7","Refused",0,213,NA
"9","Don't know",0,213,NA
".","Missing",3073,3286,NA
