"DUQ310U.Code.or.Value","DUQ310U.Value.Description","DUQ310U.Count","DUQ310U.Cumulative","DUQ310U.Skip.to.Item"
"1","Days",5,5,NA
"2","Weeks",6,11,NA
"3","Months",6,17,NA
"4","Years",63,80,NA
"7","Refused",0,80,NA
"9","Don't know",0,80,NA
".","Missing",4977,5057,NA
