"DR2TCRYP.Code.or.Value","DR2TCRYP.Value.Description","DR2TCRYP.Count","DR2TCRYP.Cumulative","DR2TCRYP.Skip.to.Item"
"0 to 12162","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
