"DR1TP182.Code.or.Value","DR1TP182.Value.Description","DR1TP182.Count","DR1TP182.Cumulative","DR1TP182.Skip.to.Item"
"0 to 127.864","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
