"MCQ240L.Code.or.Value","MCQ240L.Value.Description","MCQ240L.Count","MCQ240L.Cumulative","MCQ240L.Skip.to.Item"
"48","48",1,1,NA
"85","85 years or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",9821,9822,NA
