"BMALLEXT.Code.or.Value","BMALLEXT.Value.Description","BMALLEXT.Count","BMALLEXT.Cumulative","BMALLEXT.Skip.to.Item"
"1","Yes",1,1,NA
"2","No",2,3,NA
"9","Could not obtain",0,3,NA
".","Missing",9279,9282,NA
