"RFXC106.Code.or.Value","RFXC106.Value.Description","RFXC106.Count","RFXC106.Cumulative","RFXC106.Skip.to.Item"
"-8.089 to 5.3","Range of Values",51059,51059,NA
".","Missing",17,51076,NA
