"DS2IFA.Code.or.Value","DS2IFA.Value.Description","DS2IFA.Count","DS2IFA.Cumulative","DS2IFA.Skip.to.Item"
"0 to 5000","Range of Values",1932,1932,NA
".","Missing",3716,5648,NA
