"OSQ200.Code.or.Value","OSQ200.Value.Description","OSQ200.Count","OSQ200.Cumulative","OSQ200.Skip.to.Item"
"1","Yes",85,85,NA
"2","No",2794,2879,NA
"7","Refused",1,2880,NA
"9","Don't know",188,3068,NA
".","Missing",1,3069,NA
