"DS2TVC.Code.or.Value","DS2TVC.Value.Description","DS2TVC.Count","DS2TVC.Cumulative","DS2TVC.Skip.to.Item"
"1.3 to 15300","Range of Values",1822,1822,NA
".","Missing",7516,9338,NA
