"DR2TVD.Code.or.Value","DR2TVD.Value.Description","DR2TVD.Count","DR2TVD.Cumulative","DR2TVD.Skip.to.Item"
"0 to 97.9","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
