"FSD431.Code.or.Value","FSD431.Value.Description","FSD431.Count","FSD431.Cumulative","FSD431.Skip.to.Item"
"1","Often",53,53,NA
"2","Sometimes",238,291,NA
"3","Never",3201,3492,NA
"7","Refused",2,3494,NA
"9","Don't know",11,3505,NA
".","Missing",7032,10537,NA
