"PFQ090.Code.or.Value","PFQ090.Value.Description","PFQ090.Count","PFQ090.Cumulative","PFQ090.Skip.to.Item"
"1","Yes",530,530,NA
"2","No",5028,5558,NA
"7","Refused",1,5559,NA
"9","Don't know",0,5559,NA
".","Missing",2791,8350,NA
