"LBDSZNSI.Code.or.Value","LBDSZNSI.Value.Description","LBDSZNSI.Count","LBDSZNSI.Cumulative","LBDSZNSI.Skip.to.Item"
"6.78 to 35.57","Range of Values",2329,2329,NA
".","Missing",265,2594,NA
