"BIXS075K.Code.or.Value","BIXS075K.Value.Description","BIXS075K.Count","BIXS075K.Cumulative","BIXS075K.Skip.to.Item"
"160.28 to 955.14","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
