"LBXTIB.Code.or.Value","LBXTIB.Value.Description","LBXTIB.Count","LBXTIB.Cumulative","LBXTIB.Skip.to.Item"
"101 to 761","Range of Values",7847,7847,NA
".","Missing",985,8832,NA
