"RFXC163.Code.or.Value","RFXC163.Value.Description","RFXC163.Count","RFXC163.Cumulative","RFXC163.Skip.to.Item"
"-3.139 to 3.842","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
