"DS1ICHOL.Code.or.Value","DS1ICHOL.Value.Description","DS1ICHOL.Count","DS1ICHOL.Cumulative","DS1ICHOL.Skip.to.Item"
"0.65 to 80","Range of Values",190,190,NA
".","Missing",5533,5723,NA
