"LBDSF6LC.Code.or.Value","LBDSF6LC.Value.Description","LBDSF6LC.Count","LBDSF6LC.Cumulative","LBDSF6LC.Skip.to.Item"
"0","At or above the detection limit",8455,8455,NA
"1","Below lower detection limit",0,8455,NA
".","Missing",967,9422,NA
