"DRD330GW.Code.or.Value","DRD330GW.Value.Description","DRD330GW.Count","DRD330GW.Cumulative","DRD330GW.Skip.to.Item"
"0 to 52864","Range of Values",8506,8506,NA
".","Missing",1971,10477,NA
