"SSDPHPL.Code.or.Value","SSDPHPL.Value.Description","SSDPHPL.Count","SSDPHPL.Cumulative","SSDPHPL.Skip.to.Item"
"0","At or above the detection limit",1912,1912,NA
"1","Below lower detection limit",142,2054,NA
".","Missing",0,2054,NA
