"RFXC089.Code.or.Value","RFXC089.Value.Description","RFXC089.Count","RFXC089.Cumulative","RFXC089.Skip.to.Item"
"-8.01 to 4.569","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
