"LBDVIDLC.Code.or.Value","LBDVIDLC.Value.Description","LBDVIDLC.Count","LBDVIDLC.Cumulative","LBDVIDLC.Skip.to.Item"
"0","At or above the detection limit",8700,8700,NA
"1","Below lower detection limit",0,8700,NA
".","Missing",1135,9835,NA
