"DRD370S.Code.or.Value","DRD370S.Value.Description","DRD370S.Count","DRD370S.Cumulative","DRD370S.Skip.to.Item"
"1","Yes",67,67,""
"2","No",5357,5424,"DRD370T"
".","Missing",4338,9762,""
