"DR1_300.Code.or.Value","DR1_300.Value.Description","DR1_300.Count","DR1_300.Cumulative","DR1_300.Skip.to.Item"
"1","Much more than usual",716,716,NA
"2","Usual",6383,7099,NA
"3","Much less than usual",1422,8521,NA
"7","Refused",1,8522,NA
"9","Don't know",94,8616,NA
".","Missing",928,9544,NA
