"URXOP1.Code.or.Value","URXOP1.Value.Description","URXOP1.Count","URXOP1.Cumulative","URXOP1.Skip.to.Item"
"0.07 to 245","Range of Values",2393,2393,NA
".","Missing",112,2505,NA
