"URXPPB.Code.or.Value","URXPPB.Value.Description","URXPPB.Count","URXPPB.Cumulative","URXPPB.Skip.to.Item"
"0.14 to 4490","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
