"DR2TP183.Code.or.Value","DR2TP183.Value.Description","DR2TP183.Count","DR2TP183.Cumulative","DR2TP183.Skip.to.Item"
"0 to 17.231","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
