"URDUCDLC.Code.or.Value","URDUCDLC.Value.Description","URDUCDLC.Count","URDUCDLC.Cumulative","URDUCDLC.Skip.to.Item"
"0","detectable result",2379,2379,NA
"1","below detectable limit",86,2465,NA
".","Missing",82,2547,NA
