"TYXA163.Code.or.Value","TYXA163.Value.Description","TYXA163.Count","TYXA163.Cumulative","TYXA163.Skip.to.Item"
"0.09 to 6.377","Range of Values",2083,2083,NA
".","Missing",3502,5585,NA
