"URD14DLC.Code.or.Value","URD14DLC.Value.Description","URD14DLC.Count","URD14DLC.Cumulative","URD14DLC.Skip.to.Item"
"0","At or above the detection limit",2493,2493,NA
"1","Below lower detection limit",32,2525,NA
".","Missing",87,2612,NA
