"MCQ240t.Code.or.Value","MCQ240t.Value.Description","MCQ240t.Count","MCQ240t.Cumulative","MCQ240t.Skip.to.Item"
"66 to 71","Range of Values",2,2,NA
"80","80 years or older",2,4,NA
"77777","Refused",0,4,NA
"99999","Don't know",0,4,NA
".","Missing",9360,9364,NA
