"AUXR3KL.Code.or.Value","AUXR3KL.Value.Description","AUXR3KL.Count","AUXR3KL.Cumulative","AUXR3KL.Skip.to.Item"
"70 to 120","Range of Values",6,6,NA
"666","No response",0,6,NA
"888","Could not obtain",0,6,NA
".","Missing",2362,2368,NA
