"LBXSC3SI.Code.or.Value","LBXSC3SI.Value.Description","LBXSC3SI.Count","LBXSC3SI.Cumulative","LBXSC3SI.Skip.to.Item"
"12 to 38","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
