"URDMSMLC.Code.or.Value","URDMSMLC.Value.Description","URDMSMLC.Count","URDMSMLC.Cumulative","URDMSMLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2427,2427,NA
".","Missing",185,2612,NA
