"DSQIMFAT.Code.or.Value","DSQIMFAT.Value.Description","DSQIMFAT.Count","DSQIMFAT.Cumulative","DSQIMFAT.Skip.to.Item"
"0.0003 to 9","Range of Values",80,80,NA
".","Missing",9037,9117,NA
