"WBXA088.Code.or.Value","WBXA088.Value.Description","WBXA088.Count","WBXA088.Cumulative","WBXA088.Skip.to.Item"
"-1.3223 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
