"DRXTP204.Code.or.Value","DRXTP204.Value.Description","DRXTP204.Count","DRXTP204.Cumulative","DRXTP204.Skip.to.Item"
"0 to 2.2","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
