"RFXT078.Code.or.Value","RFXT078.Value.Description","RFXT078.Count","RFXT078.Cumulative","RFXT078.Skip.to.Item"
"672 to 681","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
