"MCQ240v.Code.or.Value","MCQ240v.Value.Description","MCQ240v.Count","MCQ240v.Cumulative","MCQ240v.Skip.to.Item"
"53 to 54","Range of Values",2,2,NA
"80","80 years or older",0,2,NA
"77777","Refused",0,2,NA
"99999","Don't know",0,2,NA
".","Missing",9573,9575,NA
