"WTINT4YR.Code.or.Value","WTINT4YR.Value.Description","WTINT4YR.Count","WTINT4YR.Cumulative","WTINT4YR.Skip.to.Item"
"683.456211 to 94900.896398","Range of Values",11039,11039,NA
".","Missing",0,11039,NA
