"DRD350I.Code.or.Value","DRD350I.Value.Description","DRD350I.Count","DRD350I.Cumulative","DRD350I.Skip.to.Item"
"1","Yes",240,240,""
"2","No",4241,4481,"DRD350J"
".","Missing",5772,10253,""
