"SSQ021D.Code.or.Value","SSQ021D.Value.Description","SSQ021D.Count","SSQ021D.Cumulative","SSQ021D.Skip.to.Item"
"13","Sister/brother",477,477,NA
".","Missing",2579,3056,NA
