"DXXSATA.Code.or.Value","DXXSATA.Value.Description","DXXSATA.Count","DXXSATA.Cumulative","DXXSATA.Skip.to.Item"
"19.85 to 1019.66","Range of Values",5095,5095,NA
".","Missing",685,5780,NA
