"URXMAD.Code.or.Value","URXMAD.Value.Description","URXMAD.Count","URXMAD.Cumulative","URXMAD.Skip.to.Item"
"8.5 to 5800","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
