"DXXVFATV.Code.or.Value","DXXVFATV.Value.Description","DXXVFATV.Count","DXXVFATV.Cumulative","DXXVFATV.Skip.to.Item"
"9.2 to 2166.22","Range of Values",4055,4055,NA
".","Missing",1059,5114,NA
