"SPFDO.Code.or.Value","SPFDO.Value.Description","SPFDO.Count","SPFDO.Cumulative","SPFDO.Skip.to.Item"
"0.2 to 1","Range of Values",1456,1456,NA
".","Missing",0,1456,NA
