"DR1IS120.Code.or.Value","DR1IS120.Value.Description","DR1IS120.Count","DR1IS120.Cumulative","DR1IS120.Skip.to.Item"
"0 to 22.642","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
