"BIXC039K.Code.or.Value","BIXC039K.Value.Description","BIXC039K.Count","BIXC039K.Cumulative","BIXC039K.Skip.to.Item"
"30.98 to 209.26","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
