"RFXT089.Code.or.Value","RFXT089.Value.Description","RFXT089.Count","RFXT089.Cumulative","RFXT089.Skip.to.Item"
"769 to 778","Range of Values",33694,33694,NA
".","Missing",27,33721,NA
