"LBDTCSI.Code.or.Value","LBDTCSI.Value.Description","LBDTCSI.Count","LBDTCSI.Cumulative","LBDTCSI.Skip.to.Item"
"1.76 to 18.21","Range of Values",7774,7774,NA
".","Missing",782,8556,NA
