"WTSAU08.Code.or.Value","WTSAU08.Value.Description","WTSAU08.Count","WTSAU08.Cumulative","WTSAU08.Skip.to.Item"
"0 to 480115.77513","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
