"LB2CRY.Code.or.Value","LB2CRY.Value.Description","LB2CRY.Count","LB2CRY.Cumulative","LB2CRY.Skip.to.Item"
"0.6 to 93.5","Range of Values",545,545,NA
".","Missing",6,551,NA
