"RFXC091.Code.or.Value","RFXC091.Value.Description","RFXC091.Count","RFXC091.Cumulative","RFXC091.Skip.to.Item"
"-7.428 to 5.647","Range of Values",33693,33693,NA
".","Missing",28,33721,NA
