"CBD760.Code.or.Value","CBD760.Value.Description","CBD760.Count","CBD760.Cumulative","CBD760.Skip.to.Item"
"17 to 77","Range of Values",2442,2442,NA
"80",">= 80 years of age",1,2443,NA
"777","Refused",2,2445,NA
"999","Don't know",3,2448,NA
".","Missing",497,2945,NA
